artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_id,track_pop,artist_pop,release_date,artist_genre,name
Saint Motel,The Original Motion Picture Soundtrack: Pt. 1,Van Horn,4UgLRXh1z9NorzrdawpIgj,0.642,0.807,8,-4.57,1,0.0421,1.73e-05,0.186,0.423,124.523,161120,4,1dWEYMPtNmvSVaDNLgB6NV,0.0,62.0,2019-10-16,la indie,1/08/20
Hotel Mira,The Eyes on You,The Eyes on You,6OFB2arLiunWCpBUabCwAX,0.639,0.859,8,-4.69,1,0.0407,0.000399,0.124,0.587,122.291,227894,4,7hd3XnjENIMw13Dmn8hEYw,17.0,38.0,2019-08-09,canadian garage rock,1/08/20
Dominic Fike,"Don't Forget About Me, Demos",3 Nights,1tNJrcVe6gwLEiZCtprs1u,0.815,0.518,7,-6.594,0,0.0897,0,0.104,0.877,151.891,177667,4,6USv9qhCn6zfxlBQIYJ9qs,79.0,72.0,2018-10-16,alternative pop rock,1/08/20
Two Door Cinema Club,Dirty Air,Dirty Air,2XBcbELp9GyzFfEdNFpcpk,0.606,0.944,10,-4.934,1,0.0378,0.00085,0.104,0.668,138.022,243828,4,536BYVgOnRky0xjsPT96zl,0.0,66.0,2019-05-21,indie rock,1/08/20
Cage The Elephant,Social Cues,Social Cues,1KuVdyg8d6NlRhbpHxg5UF,0.668,0.913,9,-3.097,1,0.0348,6.7e-06,0.111,0.933,132.039,219053,4,26T3LtbuGT1Fu9m0eRq5X3,66.0,73.0,2019-04-19,modern alternative rock,1/08/20
Beck,Uneventful Days,Uneventful Days,0cq5E0XfR8qiXKJEwXxORy,0.748,0.602,7,-8.621,1,0.037,0.00106,0.0995,0.213,119.999,197357,4,3vbKDsSS70ZX9D2OcvbZmS,36.0,64.0,2019-10-17,alternative rock,1/08/20
Cold War Kids,Complainer / 4th of July,Complainer,57PNPoQwWae2Mna894L6py,0.709,0.462,6,-6.379,1,0.0338,1.48e-05,0.116,0.496,99.996,219573,4,6VDdCwrBM4qQaGxoAyxyJC,0.0,60.0,2019-06-18,alternative rock,1/08/20
Tame Impala,Borderline,Borderline,3O8X1DE9btbzy4UH9cSX9a,0.598,0.71,0,-6.839,0,0.0272,1.77e-05,0.1,0.726,97.976,274294,4,5INjqkS1o8h1imAzPqGZBb,0.0,77.0,2019-04-12,australian psych,1/08/20
alt-J,This Is All Yours,Left Hand Free,126TblwXGNTUZ7RPMnThkU,0.698,0.876,3,-4.45,1,0.0486,0.0133,0.0824,0.81,101.992,173631,4,3XHO7cRUPCLOr6jwp8vsx5,0.0,69.0,2014-09-22,indie rock,1/08/20
John Mayer,Carry Me Away,Carry Me Away,6TL3MOcVW8i1UiJkvhpDbR,0.674,0.711,4,-6.671,1,0.0286,0.163,0.1,0.742,119.987,159134,4,0hEurMDQu99nJRq8pTxO14,2.0,76.0,2019-09-06,neo mellow,9/21/19
Vampire Weekend,Harmony Hall / 2021,2021,7D3fFG8XtOI7v0pD2fUmsr,0.815,0.284,0,-7.057,1,0.0427,0.00105,0.0987,0.449,73.785,98347,4,5BvJzeQpmsdsFp4HGUYUEx,0.0,65.0,2019-01-24,baroque pop,9/21/19
Vampire Weekend,Giant,Giant,0jgjTfhdWtAyjx8ZVprI9P,0.746,0.755,9,-7.194,1,0.067,0.00911,0.221,0.897,117.986,169360,4,5BvJzeQpmsdsFp4HGUYUEx,0.0,65.0,2010-01-11,baroque pop,9/21/19
Vampire Weekend,Vampire Weekend,Cape Cod Kwassa Kwassa,7q4MJZSiqPC16dbhQWxugv,0.852,0.518,2,-7.155,1,0.0413,0.0893,0.14,0.794,105.058,214707,4,5BvJzeQpmsdsFp4HGUYUEx,0.0,65.0,2008-01-29,baroque pop,9/21/19
Vampire Weekend,Holiday,Ottoman,24oUAUX28faoMJBw3sMDm6,0.844,0.625,11,-7.351,0,0.0272,0.00399,0.102,0.785,108.986,242267,4,5BvJzeQpmsdsFp4HGUYUEx,0.0,65.0,2010-08-24,baroque pop,9/21/19
